id,title,template,visualType,markerCount,calloutCount,status,issue,note
before-morning-llm-cloud,Prompt to Prediction,Atmospheric Scene,generated-image,0,4,ok,,Atmospheric hero supports the opening idea; exact mechanics are carried by HTML callouts.
ai-family-tree,AI Family Tree,Taxonomy Map,coded-svg,0,4,ok,,Readable taxonomy; keep definitions below rather than adding dense labels.
traditions,Rules and Learned Patterns,Comparison Board,coded-svg,0,3,ok,,Comparison is clear; loss is supported by glossary and callout.
training-loop,Training Loop,Mechanism Flow,coded-svg,5,5,ok,,The durable weight-update step is visible and numbered.
before-morning-pretraining-landscape,Broad Pretraining,Atmospheric Scene,generated-image,0,4,ok,,Atmospheric scale works; exact training details remain in callouts.
overfitting-generalization,Overfitting vs Generalization,Comparison Board,coded-svg,4,4,ok,,Readable comparison plot retained; validation markers and callouts carry the set-aside-example idea.
before-morning-finetuning-path,Durable vs Temporary Steering,Boundary Board,coded-html,4,4,ok,,Replaced legacy comparison-flow layout with a hand-specified Boundary Board.
before-morning-alignment-garden,Alignment Landscape,Atmospheric Scene,generated-image,0,4,ok,,Textless metaphor is suitable; conscience boundary is in callouts.
inference-pass,Forward Pass,Vertical Mechanism Strip,coded-html,5,5,ok,,Replaced flowchart layout with a five-row Vertical Mechanism Strip.
prompt-response,Prompt vs Response,Mechanism Flow,coded-html,4,4,ok,,Recent stacked layout is readable and testable.
tokenization,Text to Tokens,Mechanism Flow,coded-html,3,3,ok,,HTML token rows make uneven chunks readable after prior repair.
token-ids,Token IDs,Mechanism Flow,coded-svg,4,4,ok,,Lookup chain is direct and marker/callout mapping passes.
embeddings,Embedding Lookup,Mechanism Flow,coded-svg,4,4,ok,,Durable table and temporary retrieval boundary is visible.
vectors,Feature Vector,Tray / Stack / Bars,coded-html,3,3,ok,,Replaced comparison-flow visual with one horizontal distributed-feature bar strip.
tensors,Tensor Block,Tray / Stack / Bars,coded-html,3,3,ok,,Replaced axis-heavy grid with a simple stack/grid block and three short labels.
attention,Relevance Between Tokens,Boundary Board,coded-html,0,4,ok,,Replaced SVG label layout with HTML token chips and SVG arcs only.
mlp,Attention vs MLP,Boundary Board,coded-html,0,3,ok,,Replaced workshop flow with a two-column Boundary Board.
layers,Transformer Layer Strip,Vertical Mechanism Strip,coded-html,0,4,ok,,Replaced compact stack flow with a five-row Vertical Mechanism Strip.
hidden-states,"Embedding, Hidden State, Weight",Boundary Board,coded-html,0,3,ok,,Replaced state-flow diagram with a three-column Boundary Board.
logits,Raw Scoreboard,Probability Bars,coded-svg,0,4,ok,,Shared token set and bars are clear.
softmax,Score to Probability,Probability Bars,coded-svg,0,4,ok,,Probability conversion is clear and separated from selection.
sampling,Weighted Token Choice,Probability Bars,coded-svg,0,4,ok,,v0.27.18 bar layout fixed previous crowding.
autoregression,Append and Repeat,Mechanism Flow,coded-svg,4,4,ok,,Numbered repeat cycle is readable.
context-window,Temporary Context Window,Tray / Stack / Bars,coded-html,3,3,ok,,Replaced SVG tray with an HTML Tray / Stack / Bars layout.
rag-retrieval,Open-Book Retrieval,Context Tray / Stack,coded-svg,5,5,ok,,Open-book retrieval flow is clear and numbered.
grounding-evidence,Claim Support Map,Context Tray / Stack,coded-svg,4,4,ok,,Claim-to-evidence support map is readable.
hallucination-bridge,Unsupported Bridge,Comparison Board,coded-svg,4,4,ok,,Support/missing-support metaphor is testable.
ai-learns,Learning Modes Matrix,Comparison Board,coded-svg,0,4,ok,,"Simplified from dense matrix into four mode cards: training, fine-tune, RAG, and prompt."
diffusion,Append Or Denoise,Comparison Board,coded-svg,0,3,ok,,Two-lane contrast is clear.
multimodal,Media Lane Map,Taxonomy Map,coded-svg,0,4,ok,,Reduced from many media inputs/outputs to three lanes flowing through shared representation and output.
perfect-storm,Storm Front,Taxonomy Map,coded-svg,0,4,ok,,"Convergence layout remains readable, with short ingredient labels and caption below the diagram."
collective-intelligence-lantern,Borrowed Flames,Taxonomy Map,coded-svg,0,3,ok,,Simplified to human traces -> training -> model patterns -> provenance questions.
costs-invisible-factory,Cost Ledger,Taxonomy Map,coded-svg,0,3,ok,,Simplified into five cost categories with no fake statistics or cramped dashboard.
risk,Risk Ledger,Taxonomy Map,coded-svg,0,3,ok,,Two-column ledger is appropriate.
benefits-tool-garden,Benefit Tiers,Taxonomy Map,coded-svg,0,3,ok,,Simplified to bounded benefit chips with human review rather than a dense tier chart.
human-centered-ai-garden,Accountability Flow,Taxonomy Map,coded-svg,0,3,ok,,"Recentered human judgment and made review, appeal, and governance visible."
responsible-ai-forked-path,Better-AI Control Panel,Taxonomy Map,coded-svg,0,3,ok,,"Reduced dense lever panel to data, evaluation, policy, human review, and incentives."
prompting-context-tray,Context Tray,Context Tray / Stack,coded-svg,0,3,ok,,Context-tray metaphor is strong and aligned with the Journey.
synthesis-map-compass-lantern,Model Literacy Board,Boundary Board,coded-html,0,3,ok,,Kept the dense capstone map reset and implemented it as a three-lane Boundary Board.
