learningCard,visualId,currentType,concept,issue,actionTaken,remainingConcern,nextRecommendation,changed,recommendedImage2,keepCoded
"Collective Intelligence, Extracted",collective-intelligence-lantern,coded SVG/HTML,Human-created traces can enter training data; rights questions remain human and institutional.,Social/provenance idea can feel too chart-like if overdiagrammed.,Left learner UI unchanged and created a production Image 2 prompt with HTML callouts.,Needs a future textless PNG before replacing the coded scene.,Generate Image 2 asset in a dedicated asset pass.,false,true,false
Benefits Worth Taking Seriously,benefits-tool-garden,coded SVG/HTML,"Benefits can be useful while still bounded by evidence, context, safeguards, and review.",Tier concept is more judgment landscape than exact mechanism.,Left learner UI unchanged and created a production Image 2 prompt with outside callouts.,"Future PNG must avoid hype, miracle imagery, and baked-in labels.",Generate Image 2 asset after visual tone review.,false,true,false
Costs We Must Count,costs-invisible-factory,coded SVG/HTML,"AI outputs depend on infrastructure, human systems, power, and governance choices.","Invisible costs benefit from atmosphere, but numbers and claims must stay out of the image.",Left learner UI unchanged and created a production Image 2 prompt.,Generated asset must avoid fake statistics and disaster imagery.,Generate Image 2 asset with strict negative prompt.,false,true,false
Human-Centered AI,human-centered-ai-garden,coded SVG/HTML,"AI can support decisions, but review, governance, dignity, and accountability remain human.",Accountability concept needs warmth without robot judges or moral-halo metaphors.,Left learner UI unchanged and created a production Image 2 prompt.,"Future image must stay textless and avoid faces, halos, and automation fantasy.",Generate Image 2 asset after the social concept art set is approved.,false,true,false
Fine-Tuning,before-morning-finetuning-path,generated PNG plus HTML callouts,"Fine-tuning can durably adapt behavior; prompts, RAG/context, and sampling steer the current run.",The previous caption emphasized durable adaptation but did not make the neighboring boundaries explicit enough.,"Updated caption, subtitle, callouts, key takeaway, accessible description, and print note.",Future coded overlay markers may help if the generated art is reused in a high-stakes review packet.,Keep current PNG and improved HTML callouts for v0.27.17.,true,false,false
Attention,attention,coded SVG/HTML,"Attention computes weighted relevance between token positions, not awareness.",A web-like scene can accidentally imply broad awareness or mind-like noticing.,"Redrew the diagram around a target token, source tokens, one strong link, one weak link, and a not-awareness note.",No major concern after mobile QA; keep labels short.,Keep coded.,true,false,true
MLP,mlp,coded SVG/HTML,Attention mixes across positions; the MLP reshapes features within one token position.,The visual needed a cleaner contrast between cross-position mixing and same-position reshaping.,"Redrew with a compact attention panel, same-position cat token, MLP panel, and before/after feature bars.",Feature bars are still simplified teaching symbols.,Keep coded.,true,false,true
Layers,layers,coded SVG/HTML,Repeated transformer blocks refine temporary hidden states.,"The stack needed stronger ""repeated block"" structure without implying thought steps.","Redrew each layer as Layer N plus attention and MLP chips, with refined output states and temporary-this-run note.","Residual paths and normalization remain in callouts, not the diagram.",Keep coded.,true,false,true
Hidden States,hidden-states,coded SVG/HTML,"Hidden states are temporary context-shaped vectors, distinct from embeddings and durable weights.","Needed a simpler contrast among ID, embedding, hidden states, scores, weights, and memory.",Redrew the flow and added durable weights versus temporary states language inside the diagram.,Still simplified; details stay in the HTML callouts.,Keep coded.,true,false,true
Logits,logits,coded SVG/HTML,"Logits are raw next-token scores before probabilities, not confidence or truth.","Needed stronger ""raw score"" and ""not probability/truth"" framing.",Adjusted top labels and bottom boundary chip while preserving the candidate-score bars.,"Scores are teaching values, not actual model internals.",Keep coded.,true,false,true
Softmax,softmax,coded SVG/HTML,Softmax turns raw scores into probabilities that sum to one; it does not choose the token.,Previous language risked letting learners merge softmax and sampling.,Updated caption/callouts and diagram note to say softmax is not the chooser.,Rounded probabilities are teaching values.,Keep coded.,true,false,true
Sampling,sampling,coded SVG/HTML,Sampling chooses one next token from probability-shaped options; fit is not proof.,"Needed the truth boundary in callouts, not squeezed into the diagram.",Updated callout/key takeaway and simplified the chosen-token label area.,Keep temperature/top-k/top-p out of this intro visual.,Keep coded.,true,false,true
